ID,YYYY,MM,DD,DOY,2m_temp_max,2m_temp_mean,2m_temp_min,2m_dp_temp_max,2m_dp_temp_mean,2m_dp_temp_min,10m_wind_u,10m_wind_v,fcst_alb,lai_high_veg,lai_low_veg,swe,surf_net_solar_rad_max,surf_net_solar_rad_mean,surf_net_therm_rad_max,surf_net_therm_rad_mean,surf_press,total_et,prec,volsw_123,volsw_4
687,1981,1,1,1,-1.3,-4.3,-8.7,-4.2,-7.6,-11.5,2.8,0.1,0.42,2.3,1.7,134.94,108,18,57,28,88782,0.22,8.41,0.34,0.4
687,1981,1,2,2,-2.3,-3.7,-5.1,-4.6,-6.3,-7.3,2.3,0.6,0.43,2.2,1.7,146.38,64,13,29,14,88773,0.27,13.13,0.34,0.4
687,1981,1,3,3,2.5,0.8,-2,-0.4,-3.1,-4.8,3,1.3,0.43,2.2,1.7,154.94,85,20,56,19,87705,0.43,8.34,0.34,0.4
687,1981,1,4,4,1.3,-1.5,-4.4,-0.4,-2.8,-7.3,2.1,-0.2,0.42,2.2,1.6,163.18,32,8,70,26,87224,0.33,18.35,0.35,0.4
687,1981,1,5,5,-5.2,-6.8,-7.6,-8.6,-9.4,-10.6,2.7,-0.9,0.43,2.2,1.6,178.93,90,20,65,30,87980,0.51,15.31,0.35,0.4
