ID,YYYY,MM,DD,qobs,ckhs,qceq,qcol
678,1981,1,1,26.141,1,0,0
678,1981,1,2,21.835,1,0,0
678,1981,1,3,30.593,1,0,0
678,1981,1,4,51.746,1,0,0
678,1981,1,5,50.469,1,0,0
678,1981,1,6,46.033,1,0,0
678,1981,1,7,50.094,1,0,0
678,1981,1,8,50.718,1,0,0
678,1981,1,9,41.879,1,0,0
678,1981,1,10,43.055,1,0,0
678,1981,1,11,39.599,1,0,0
678,1981,1,12,33.054,1,0,0
678,1981,1,13,28.37,1,0,0
678,1981,1,14,34.825,1,0,0
678,1981,1,15,36.54,1,0,0
678,1981,1,16,38.118,1,0,0
678,1981,1,17,38.954,1,0,0
678,1981,1,18,32.754,1,0,0
678,1981,1,19,32.487,1,0,0
678,1981,1,20,37.778,1,0,0
678,1981,1,21,39.299,1,0,0
678,1981,1,22,34.491,1,0,0
678,1981,1,23,33.073,1,0,0
678,1981,1,24,36.348,1,0,0
678,1981,1,25,27.767,1,0,0
678,1981,1,26,25.384,1,0,0
678,1981,1,27,29.32,1,0,0
678,1981,1,28,31.846,1,0,0
678,1981,1,29,35.44,1,0,0
678,1981,1,30,28.208,1,0,0
678,1981,1,31,28.802,1,0,0
678,1981,2,1,19.47,1,0,0
678,1981,2,2,18.493,1,0,0
678,1981,2,3,21.028,1,0,0
678,1981,2,4,20.611,1,0,0
678,1981,2,5,20.21,1,0,0
678,1981,2,6,18.597,1,0,0
678,1981,2,7,26.115,1,0,0
678,1981,2,8,54.552,1,0,0
678,1981,2,9,47.46,1,0,0
678,1981,2,10,40.831,1,0,0
678,1981,2,11,40.15,1,0,0
678,1981,2,12,39.805,1,0,0
678,1981,2,13,32.288,1,0,0
678,1981,2,14,24.567,1,0,0
678,1981,2,15,22.232,1,0,0
678,1981,2,16,22.071,1,0,0
678,1981,2,17,20.106,1,0,0
678,1981,2,18,20.248,1,0,0
678,1981,2,19,18.211,1,0,0
678,1981,2,20,17.459,1,0,0
678,1981,2,21,24.501,1,0,0
678,1981,2,22,23.293,1,0,0
678,1981,2,23,20.643,1,0,0
678,1981,2,24,23.045,1,0,0
678,1981,2,25,28.883,1,0,0
678,1981,2,26,28.356,1,0,0
678,1981,2,27,26.395,1,0,0
678,1981,2,28,26.605,1,0,0
678,1981,3,1,21.984,1,0,0
678,1981,3,2,18.592,1,0,0
678,1981,3,3,21.155,1,0,0
678,1981,3,4,31.827,1,0,0
678,1981,3,5,37.619,1,0,0
678,1981,3,6,36.883,1,0,0
678,1981,3,7,39.819,1,0,0
678,1981,3,8,48.879,1,0,0
678,1981,3,9,61.385,1,0,0
678,1981,3,10,99.804,1,0,0
678,1981,3,11,140.406,1,0,0
678,1981,3,12,212.042,1,0,0
678,1981,3,13,234.323,1,0,0
678,1981,3,14,189.458,1,0,0
678,1981,3,15,122.456,1,0,0
678,1981,3,16,101.592,1,0,0
678,1981,3,17,109.938,1,0,0
678,1981,3,18,110.756,1,0,0
678,1981,3,19,96.422,1,0,0
678,1981,3,20,81.247,1,0,0
678,1981,3,21,68.666,1,0,0
678,1981,3,22,65.827,1,0,0
678,1981,3,23,68.208,1,0,0
678,1981,3,24,86.329,1,0,0
678,1981,3,25,124.51,1,0,0
678,1981,3,26,146.76,1,0,0
678,1981,3,27,148.375,1,0,0
678,1981,3,28,115.667,1,0,0
678,1981,3,29,102.852,1,0,0
678,1981,3,30,128,1,0,0
678,1981,3,31,137.24,1,0,0
678,1981,4,1,152.375,1,0,0
678,1981,4,2,141.042,1,0,0
678,1981,4,3,124.281,1,0,0
678,1981,4,4,109.106,1,0,0
678,1981,4,5,102.019,1,0,0
678,1981,4,6,101.633,1,0,0
678,1981,4,7,111.969,1,0,0
678,1981,4,8,114.073,1,0,0
678,1981,4,9,137.531,1,0,0
678,1981,4,10,129.177,1,0,0
678,1981,4,11,112.417,1,0,0
678,1981,4,12,109.237,1,0,0
678,1981,4,13,89.125,1,0,0
678,1981,4,14,105.688,1,0,0
678,1981,4,15,100.483,1,0,0
678,1981,4,16,95.337,1,0,0
678,1981,4,17,83.928,1,0,0
678,1981,4,18,73.639,1,0,0
678,1981,4,19,72.718,1,0,0
678,1981,4,20,66.608,1,0,0
678,1981,4,21,68.734,1,0,0
678,1981,4,22,69.042,1,0,0
678,1981,4,23,67.536,1,0,0
678,1981,4,24,64.969,1,0,0
678,1981,4,25,61.592,1,0,0
678,1981,4,26,45.826,1,0,0
678,1981,4,27,38.942,1,0,0
678,1981,4,28,53.648,1,0,0
678,1981,4,29,47.822,1,0,0
678,1981,4,30,38.417,1,0,0
678,1981,5,1,36.004,1,0,0
678,1981,5,2,42.866,1,0,0
678,1981,5,3,42.711,1,0,0
678,1981,5,4,36.646,1,0,0
678,1981,5,5,43.498,1,0,0
678,1981,5,6,47.686,1,0,0
678,1981,5,7,56.257,1,0,0
678,1981,5,8,48.554,1,0,0
678,1981,5,9,44.335,1,0,0
678,1981,5,10,38.39,1,0,0
678,1981,5,11,33.656,1,0,0
678,1981,5,12,43.74,1,0,0
